"","Yorf","WT1pre","WT2pre","WT3pre","WT1post","WT2post","WT3post","gene","desc"
"1705","YFL002W-B",4,0,0,1,0,0,"","Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag"
"1706","YFL003C",226,222,165,154,132,138,"MSH4","Protein involved in meiotic recombination; required for normal levels of crossing over, colocalizes with Zip2p to discrete foci on meiotic chromosomes, has homology to bacterial MutS protein"
"1707","YFL004W",6787,6377,4272,4361,3669,4807,"VTC2","Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; VTC2 has a paralog, VTC3, that arose from the whole genome duplication"
"1708","YFL005W",2961,2598,1577,2315,1844,2275,"SEC4","Rab family GTPase; essential for vesicle-mediated exocytic secretion and autophagy; associates with the exocyst component Sec15p and may regulate polarized delivery of transport vesicles to the exocyst at the plasma membrane"
"1709","YFL007W",8265,9546,6414,7126,5682,7707,"BLM10","Proteasome activator; binds the core proteasome (CP) and stimulates proteasome-mediated protein degradation by inducing gate opening; required for sequestering CP into proteasome storage granule (PSG) during quiescent phase and for nuclear import of CP in proliferating cells; required for resistance to bleomycin, may be involved in protecting against oxidative damage; similar to mammalian PA200"
"1710","YFL008W",2458,2345,1607,2129,1899,2392,"SMC1","Subunit of the multiprotein cohesin complex; essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure"
"1711","YFL009W",2175,2051,1307,2136,1804,2286,"CDC4","F-box protein required for both the G1/S and G2/M phase transitions; modular substrate specificity factor which associates with core SCF (Cdc53p, Skp1p and Hrt1p/Rbx1p) to form the SCFCdc4 complex; SCFCdc4 acts as a ubiquitin-protein ligase directing ubiquitination of cyclin-dependent kinase (CDK) phosphorylated substrates, such as: Sic1p, Far1p, Cdc6p, Clb6p, and Cln3p"
"1712","YFL010C",2296,2001,1256,976,944,1134,"WWM1","WW domain containing protein of unknown function; binds to Mca1p, a caspase-related protease that regulates H2O2-induced apoptosis; overexpression causes G1 phase growth arrest and clonal death that is suppressed by overexpression of MCA1"
"1713","YFL010W-A",1307,1072,761,608,528,657,"AUA1","Protein required for the negative regulation by ammonia of Gap1p; Gap1p is a general amino acid permease"
"1714","YFL011W",66,59,29,91,100,99,"HXT10","Putative hexose transporter; expressed at low levels and expression is repressed by glucose"
"1715","YFL012W",31,21,19,12,18,5,"","Putative protein of unknown function; transcribed during sporulation; null mutant exhibits increased resistance to rapamycin"
"1716","YFL013C",1305,1215,753,2026,1623,1988,"IES1","Subunit of the INO80 chromatin remodeling complex; relocalizes to the cytosol in response to hypoxia"
"1717","YFL014W",1312,2104,1045,19154,13261,14012,"HSP12","Plasma membrane protein involved in maintaining membrane organization; involved in maintaining organization during stress conditions; induced by heat shock, oxidative stress, osmostress, stationary phase, glucose depletion, oleate and alcohol; protein abundance increased in response to DNA replication stress and dietary restriction; regulated by the HOG and Ras-Pka pathways; required for dietary restriction-induced lifespan extension"
"1718","YFL016C",7470,6669,4080,8597,5525,7633,"MDJ1","Co-chaperone that stimulates HSP70 protein Ssc1p ATPase activity; involved in protein folding/refolding in the mitochodrial matrix; required for proteolysis of misfolded proteins; member of the HSP40 (DnaJ) family of chaperones"
"1719","YFL017C",749,520,370,353,268,334,"GNA1","Glucosamine-6-phosphate acetyltransferase; evolutionarily conserved; required for multiple cell cycle events including passage through START, DNA synthesis, and mitosis; involved in UDP-N-acetylglucosamine synthesis, forms GlcNAc6P from AcCoA"
"1720","YFL017W-A",310,198,132,92,81,86,"SMX2","Core Sm protein Sm G; part of heteroheptameric complex (with Smb1p, Smd1p, Smd2p, Smd3p, Sme1p, and Smx3p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm G"
"1721","YFL018C",6320,6577,4125,6414,6607,7443,"LPD1","Dihydrolipoamide dehydrogenase; the lipoamide dehydrogenase component (E3) of the pyruvate dehydrogenase and 2-oxoglutarate dehydrogenase multi-enzyme complexes; PDH complex is concentrated in spots within the mitochondrial matrix, often near the ERMES complex and near peroxisomes; LPD1 has a paralog, IRC15, that arose from the whole genome duplication"
"1722","YFL020C",109,45,47,77,81,102,"PAU5","Member of the seripauperin multigene family; encoded mainly in subtelomeric regions; induced during alcoholic fermentation; induced by low temperature and also by anaerobic conditions; negatively regulated by oxygen and repressed by heme"
"1723","YFL021W",742,983,570,915,1071,1086,"GAT1","Transcriptional activator of nitrogen catabolite repression genes; contains a GATA-1-type zinc finger DNA-binding motif; activity and localization regulated by nitrogen limitation and Ure2p; different translational starts produce two major and two minor isoforms that are differentially regulated and localized"
"1724","YFL022C",8968,10162,6159,4892,3972,4738,"FRS2","Alpha subunit of cytoplasmic phenylalanyl-tRNA synthetase; forms a tetramer with Frs1p to form active enzyme; evolutionarily distant from mitochondrial phenylalanyl-tRNA synthetase based on protein sequence, but substrate binding is similar"
"1725","YFL023W",1484,1313,802,184,278,234,"BUD27","Unconventional prefoldin protein involved in translation initiation; required for correct assembly of RNAP I, II, and III in an Rpb5p-dependent manner; shuttles between nucleus and cytoplasm; mutants have inappropriate expression of nutrient sensitive genes due to translational derepression of Gcn4p transcription factor; diploid mutants show random budding; ortholog of human URI/RMP"
"1726","YFL024C",1222,1310,885,2567,2249,2696,"EPL1","Subunit of NuA4, an essential histone H4/H2A acetyltransferase complex; conserved region at N-terminus is essential for interaction with the NPC (nucleosome core particle); required for autophagy; homologous to Drosophila Enhancer of Polycomb; coding sequence contains length polymorphisms in different strains"
"1727","YFL025C",1413,1389,857,894,724,1103,"BST1","GPI inositol deacylase of the endoplasmic reticulum (ER); negatively regulates COPII vesicle formation; prevents production of vesicles with defective subunits; required for proper discrimination between resident ER proteins and Golgi-bound cargo molecules; functional ortholog of human PGAP1, mutation of which is associated with intellectual disability and encephalopathy"
"1728","YFL026W",4320,3776,2463,1843,1504,2268,"STE2","Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells"
"1729","YFL027C",405,353,279,723,675,847,"GYP8","GTPase-activating protein for yeast Rab family members; Ypt1p is the preferred in vitro substrate but also acts on Sec4p, Ypt31p and Ypt32p; involved in the regulation of ER to Golgi vesicle transport"
"1730","YFL028C",850,780,569,596,562,642,"CAF16","Part of evolutionarily-conserved CCR4-NOT regulatory complex; contains single ABC-type ATPase domain but no transmembrane domain; interacts with several subunits of Mediator"
"1731","YFL029C",520,441,280,682,525,656,"CAK1","Cyclin-dependent kinase-activating kinase; required for passage through the cell cycle; phosphorylates and activates Cdc28p; nucleotide-binding pocket differs significantly from those of most other protein kinases"
"1732","YFL030W",387,413,245,874,1071,1180,"AGX1","Alanine:glyoxylate aminotransferase (AGT); catalyzes the synthesis of glycine from glyoxylate, which is one of three pathways for glycine biosynthesis in yeast; similar to mammalian and plant alanine:glyoxylate aminotransferases; human homolog AGXT complements yeast null mutant"
"1733","YFL031W",22595,20259,12882,28077,27911,28797,"HAC1","Basic leucine zipper (bZIP) transcription factor (ATF/CREB1 homolog); regulates the unfolded protein response, via UPRE binding, and membrane biogenesis; ER stress-induced splicing pathway facilitates efficient Hac1p synthesis; two functional forms of Hac1p are produced; translation initiation is repressed under non-stress conditions; protein abundance increases in response to DNA replication stress"
"1734","YFL033C",2950,4033,2677,3500,3094,4039,"RIM15","Protein kinase involved in cell proliferation in response to nutrients; glucose-repressible; involved in signal transduction during cell proliferation in response to nutrients, specifically the establishment of stationary phase; identified as a regulator of IME2; phosphorylates Igo1p and Igo2p; substrate of Pho80p-Pho85p kinase"
"1735","YFL034C-A",1340,1161,730,376,386,436,"RPL22B","Ribosomal 60S subunit protein L22A; required for translation of long 5' UTR of IME1 mRNA and meiotic entry; homologous to mammalian ribosomal protein L22, no bacterial homolog; RPL22B has a paralog, RPL22A, that arose from the whole genome duplication"
"1736","YFL034C-B",783,718,444,515,482,613,"MOB2","Activator of Cbk1p kinase; component of the RAM signaling network that regulates cellular polarity and morphogenesis; activation of Cbk1p facilitates the Ace2p-dependent daughter cell-specific transcription of genes involved in cell separation; similar to Mob1p"
"1737","YFL034W",1928,1733,1202,2315,1982,2597,"MIL1","Predicted lipase; binds variant medium clathrin chain Apm2p and contributes to its membrane recruitment; putative integral membrane protein that interacts with Rpp0p component of ribosomal stalk"
"1738","YFL036W",4276,4057,2756,6697,5005,6276,"RPO41","Mitochondrial RNA polymerase; single subunit enzyme similar to those of T3 and T7 bacteriophages; requires a specificity subunit encoded by MTF1 for promoter recognition; Mtf1p interacts with and stabilizes the Rpo41p-promoter complex, enhancing DNA bending and melting to facilitate pre-initiation open complex formation; Rpo41p also synthesizes RNA primers for mitochondrial DNA replication"
"1739","YFL037W",11959,12498,7335,6896,6314,7328,"TUB2","Beta-tubulin; associates with alpha-tubulin (Tub1p and Tub3p) to form tubulin dimer, which polymerizes to form microtubules; mutation in human ortholog is associated with congenital fibrosis of the extraocular muscles (CFEOM) with polymicrogyria"
"1740","YFL038C",7134,5255,3462,4331,3862,4556,"YPT1","Rab family GTPase; involved in the ER-to-Golgi step of the secretory pathway; complex formation with the Rab escort protein Mrs6p is required for prenylation of Ypt1p by type II protein geranylgeranyltransferase (Bet2p-Bet4p); binds to unspliced HAC1 mRNA; regulates the unfolded protein response (UPR) by promoting the decay of HAC1 RNA; localizes to the early Golgi, the transitional Golgi and ER membranes, pre-autophagosomal structures, and cytoplasmic vesicles"
"1741","YFL039C",52901,65191,36014,46510,51774,48235,"ACT1","Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions"
"1742","YFL040W",151,188,144,190,210,242,"","Putative transporter; member of the sugar porter family; YFL040W is not an essential gene; may have a role in intracellular sterol transport"
"1743","YFL041W",2823,2648,1587,2157,1680,2264,"FET5","Multicopper oxidase; integral membrane protein with similarity to Fet3p; may have a role in iron transport"
"1744","YFL041W-A",39,22,19,110,73,86,"","Putative protein of unknown function; identified by fungal homology and RT-PCR"
"1745","YFL042C",1184,1087,765,2688,2202,2524,"LAM5","Putative sterol transfer protein; one of six StART-like domain-containing proteins in yeast that may be involved in sterol transfer between intracellular membranes; conserved across eukaryotes; has both GRAM and StART-like (VASt) domains; localizes to membrane contact sites throughout the cell, including nucleus-vacuole junctions and ER-mitochondrial contact sites"
"1746","YFL044C",845,663,411,1167,961,1132,"OTU1","Deubiquitylation enzyme that binds to the chaperone-ATPase Cdc48p; may contribute to regulation of protein degradation by deubiquitylating substrates that have been ubiquitylated by Ufd2p; member of the Ovarian Tumor (OTU) family; protein abundance increases in response to DNA replication stress"
"1747","YFL045C",10886,10643,6740,4159,3336,4575,"SEC53","Phosphomannomutase; involved in synthesis of GDP-mannose and dolichol-phosphate-mannose; required for folding and glycosylation of secretory proteins in the ER lumen"
"1748","YFL046W",395,254,191,296,268,305,"FMP32","Putative assembly factor for cytochrome c oxidase; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; has similarity to human MCUR1/CCDC90A"
"1749","YFL047W",1723,1593,1054,1075,885,1089,"RGD2","GTPase-activating protein (RhoGAP) for Cdc42p and Rho5p; relocalizes from bud neck to cytoplasm upon DNA replication stress"
"1750","YFL048C",3424,2761,1918,1952,1640,2186,"EMP47","Integral membrane component of ER-derived COPII-coated vesicles; functionS in ER to Golgi transport; EMP47 has a paralog, EMP46, that arose from the whole genome duplication"
"1751","YFL049W",672,676,464,859,735,939,"SWP82","Member of the SWI/SNF chromatin remodeling complex; has an as yet unidentified role in the complex; has identifiable counterparts in closely related yeast species; abundantly expressed in many growth conditions; paralog of Npl6p; relocates to the cytosol under hypoxic conditions"
"1752","YFL050C",450,485,322,1170,1018,1317,"ALR2","Probable Mg(2+) transporter; overexpression confers increased tolerance to Al(3+) and Ga(3+) ions; plays a role in regulating Ty1 transposition"
"1753","YFL051C",28,30,14,491,329,504,"","Putative protein of unknown function; SWAT-GFP fusion protein localizes to the cell periphery while mCherry fusion protein localizes to both the cell periphery and vacuole; YFL051C is not an essential gene"
"1754","YFL052W",73,107,71,2151,1702,2132,"ZNF1","Zinc cluster transcription factor that regulates respiratory growth; binds to promoters of genes involved in respiration, gluconeogenesis, and the glyoxylate shunt; required for normal carbon source utilization and stress response"
"1755","YFL053W",149,199,113,1666,1462,1709,"DAK2","Dihydroxyacetone kinase; required for detoxification of dihydroxyacetone (DHA); involved in stress adaptation"
"1756","YFL054C",478,477,318,6670,5071,6892,"AQY3","Putative channel-like protein; similar to Fps1p; mediates passive diffusion of glycerol in the presence of ethanol"
"1757","YFL055W",392,365,322,340,371,329,"AGP3","Low-affinity amino acid permease; may act to supply the cell with amino acids as nitrogen source in nitrogen-poor conditions; transcription is induced under conditions of sulfur limitation; plays a role in regulating Ty1 transposition"
"1758","YFL058W",6,34,14,9,20,28,"THI5","Protein involved in synthesis of the thiamine precursor HMP; member of a subtelomeric gene family including THI5, THI11, THI12, and THI13; hydroxymethylpyrimidine is also known as HMP"
"1759","YFL059W",152,148,71,142,113,136,"SNZ3","Member of a stationary phase-induced gene family; expressed in the presence of galactose; transcription of SNZ3 is induced prior to diauxic shift, and also in the absence of thiamin in a Thi2p-dependent manner; forms a coregulated gene pair with SNO3"
"1760","YFL060C",131,93,25,106,110,84,"SNO3","Protein of unknown function; nearly identical to Sno2p; expression is induced before the diauxic shift and also in the absence of thiamin"
"1761","YFL061W",108,34,102,91,89,54,"DDI2","Cyanamide hydratase that detoxifies cyanamide; member of the HD domain metalloprotein superfamily; expression is induced over 100-fold by cyanamide and by SN2-type DNA alkylating agents such as MMS and DMA; induction decreased in rad6 and rad18 mutants; gene and protein are identical to DDI3 and Ddi3p"
"1762","YFL062W",6,7,11,25,43,18,"COS4","Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved, often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins"
"1763","YFL064C",6,6,0,87,5,5,"","Putative protein of unknown function"
"1764","YFL065C",9,0,0,15,11,0,"","Putative protein of unknown function; induced by treatment with 8-methoxypsoralen and UVA irradiation"
"1765","YFL066C",123,0,0,0,40,13,"","Helicase-like protein encoded within the telomeric Y' element; induced by treatment with 8-methoxypsoralen and UVA irradiation; SWAT-GFP and mCherry fusion proteins localize to the nucleus"
"1766","YFL067W",134,232,62,534,368,273,"","Protein of unknown function; down-regulated at low calcium levels; mCherry fusion protein localizes to the vacuole"
"1767","YFL068W",310,7,129,791,537,698,"","Putative protein of unknown function; SWAT-GFP and mCherry fusion proteins localize to the cytosol"
"1768","YFR001W",984,854,570,263,244,307,"LOC1","Nuclear protein involved in asymmetric localization of ASH1 mRNA; binds double-stranded RNA in vitro; constituent of 66S pre-ribosomal particles; required at post-transcriptional step for efficient retrotransposition; absence results in decreased Ty1 Gag:GFP protein levels; relocalizes from nucleus to cytoplasm upon DNA replication stress"
"1769","YFR002W",3468,3008,2058,2224,1655,2582,"NIC96","Linker nucleoporin component of the nuclear pore complex (NPC); also part of the NPC nuclear basket; contributes to nucleocytoplasmic transport and NPC biogenesis; forms stable associations with three FG-nucleoporins (Nsp1p, Nup57p, and Nup49p)"
"1770","YFR003C",650,418,328,793,619,740,"YPI1","Regulatory subunit of the type I protein phosphatase (PP1) Glc7p; Glc7p participates in the regulation of a variety of metabolic processes including mitosis and glycogen metabolism; in vitro evidence suggests Ypi1p is an inhibitor of Glc7p while in vivo evidence suggests it is an activator; overproduction causes decreased cellular content of glycogen; partial depletion causes lithium sensitivity, while overproduction confers lithium-tolerance"
"1771","YFR004W",3254,2450,1829,3244,2771,3707,"RPN11","Metalloprotease subunit of 19S regulatory particle; part of 26S proteasome lid; couples the deubiquitination and degradation of proteasome substrates; involved, independent of catalytic activity, in fission of mitochondria and peroxisomes; protein abundance increases in response to DNA replication stress"
"1772","YFR005C",1106,994,627,774,660,941,"SAD1","Conserved zinc-finger domain protein involved in pre-mRNA splicing; critical for splicing of nearly all intron-containing genes; required for assembly of U4 snRNA into the U4/U6 particle"
"1773","YFR006W",3572,2877,1931,2183,1818,2509,"","Putative X-Pro aminopeptidase; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YFR006W is not an essential gene"
"1774","YFR007W",404,351,266,444,360,497,"YFH7","Putative kinase with similarity to the PRK/URK/PANK kinase subfamily; the PRK/URK/PANK subfamily of P-loop kinases is also known as phosphoribulokinase/uridine kinase/bacterial pantothenate kinase"
"1775","YFR008W",183,143,97,356,301,406,"FAR7","Protein involved in recovery from pheromone-induced cell cycle arrest; acts in a Far1p-independent pathway; interacts with Far3p, Far8p, Far9p, Far10p, and Far11p; protein abundance increases in response to DNA replication stress"
"1776","YFR009W",8785,8211,5573,5187,4405,5952,"GCN20","Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn1p; proposed to stimulate Gcn2p activation by an uncharged tRNA"
"1777","YFR010W",4094,3758,2752,3650,3127,4169,"UBP6","Ubiquitin-specific protease; situated in the base subcomplex of the 26S proteasome, releases free ubiquitin from branched polyubiquitin chains en bloc, rather than from the distal tip of the chain; negatively regulates degradation of ubiquitinated proteins by the proteasome; works in opposition to Hul5p polyubiquitin elongation activity; mutant has aneuploidy tolerance; human homolog UBP14 complements yeast null mutant"
"1778","YFR011C",527,355,275,256,200,297,"MIC19","Component of the MICOS complex; MICOS (formerly MINOS or MitOS) is a mitochondrial inner membrane complex that extends into the intermembrane space and has a role in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane; Mic19p is peripheral to the inner membrane and may connect Mic60p with the Mic10p-Mic12p-Mic27p subcomplex; both yeast and human Mic19p become oxidized, and oxidation may regulate MICOS"
"1779","YFR012W",27,22,21,12,39,18,"DCV1","Protein of unknown function; deletion mutant shows strong genetic interaction with cdc28-as1 mutant in the presence of 1-NM-PP1; DCV1 has a paralog, YOL019W, that arose from the whole genome duplication"
"1780","YFR012W-A",1,3,1,6,2,4,"","Putative protein of unknown function; identified by homology"
"1781","YFR013W",1873,1996,1237,1339,1268,1517,"IOC3","Subunit of the Isw1a complex; Isw1a has nucleosome-stimulated ATPase activity and represses transcription initiation by specific positioning of a promoter proximal dinucleosome; promotes nucleosome shifts in the 5 prime direction; IOC3 has a paralog, ESC8, that arose from the whole genome duplication"
"1782","YFR014C",1189,961,811,3247,2563,3335,"CMK1","Calmodulin-dependent protein kinase; may play a role in stress response, many Ca++/calmodulin dependent phosphorylation substrates demonstrated in vitro, amino acid sequence similar to mammalian Cam Kinase II; CMK1 has a paralog, CMK2, that arose from the whole genome duplication"
"1783","YFR015C",654,750,565,36171,30103,33902,"GSY1","Glycogen synthase; expression induced by glucose limitation, nitrogen starvation, environmental stress, and entry into stationary phase; GSY1 has a paralog, GSY2, that arose from the whole genome duplication; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress"
"1784","YFR016C",1908,1987,1271,2916,2618,2840,"","Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and bud; interacts with Spa2p; YFR016C is not an essential gene"
"1785","YFR017C",229,256,183,3458,2896,3228,"IGD1","Cytoplasmic protein that inhibits Gdb1p glycogen debranching activity; required for normal intracellular accumulation of glycogen; phosphorylated in vivo; expression increases during wine fermentation; protein abundance increases in response to DNA replication stress; IGD1 has a paralog, YOL024W, that arose from the whole genome duplication"
"1786","YFR018C",1413,1093,648,1112,996,1176,"","Putative protein of unknown function; SWAT-GFP and seamless GFP fusion proteins localize to the endoplasmic reticulum and mCherry fusion protein localizes to the vacuole"
"1787","YFR019W",2941,3170,2093,3737,3277,4249,"FAB1","1-phosphatidylinositol-3-phosphate 5-kinase; vacuolar membrane kinase that generates phosphatidylinositol (3,5)P2, which is involved in vacuolar sorting and homeostasis"
"1788","YFR020W",224,189,124,397,351,469,"CSS2","Protein of unknown function, secreted when constitutively expressed; SWAT-GFP fusion protein localizes to the endoplasmic reticulum (ER) and extracellular region, while mCherry fusion protein localizes to the ER and vacuole; mRNA identified as translated by ribosome profiling data; CSS2 is a non-essential gene"
"1789","YFR021W",981,957,583,1171,961,1295,"ATG18","Phosphoinositide binding protein; required for vesicle formation in autophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway; binds both phosphatidylinositol (3,5)-bisphosphate and phosphatidylinositol 3-phosphate; WD-40 repeat protein; relocalizes from vacuole to cytoplasm upon DNA replication stress; has 4 mammalian homologs WIPI1, WIPI2, WIPI3 and WIPI4/WDR45; mutations in human WDR45 cause static encephalopathy of childhood with neurodegeneration in adulthood"
"1790","YFR022W",826,845,561,1092,901,1193,"ROG3","Alpha-arrestin involved in ubiquitin-dependent endocytosis; contributes to desensitization of agonist-occupied alpha-factor receptor Ste2p by Rsp5p-independent internalization; PPXY motif-mediated binding of the ubiquitin ligase Rsp5p is not required for adaptation; mutation suppresses the temperature sensitivity of an mck1 rim11 double mutant; SWAT-GFP and mCherry fusion proteins localize to the cytosol; ROG3 has a paralog, ROD1, that arose from the whole genome duplication"
"1791","YFR023W",29,36,24,28,69,49,"PES4","Poly(A) binding protein, suppressor of DNA polymerase epsilon mutation; PES4 has a paralog, MIP6, that arose from the whole genome duplication"
"1792","YFR024C-A",5311,3665,2601,4461,3482,4495,"LSB3","Protein containing a C-terminal SH3 domain; binds Las17p, which is a homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly and actin polymerization; protein abundance increases in response to DNA replication stress; LSB3 has a paralog, YSC84, that arose from the whole genome duplication"
"1793","YFR025C",1307,1048,748,887,707,1027,"HIS2","Histidinolphosphatase; catalyzes the eighth step in histidine biosynthesis; mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts; transcription is regulated by general amino acid control"
"1794","YFR026C",66,53,45,120,90,133,"ULI1","Protein of unknown function; involved in and induced by the endoplasmic reticulum unfolded protein response (UPR); SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum"
"1795","YFR027W",227,153,106,242,176,252,"ECO1","Acetyltransferase; required for establishment of sister chromatid cohesion; acetylates Mps3p to regulate nuclear organization; modifies Smc3p at replication forks and Mcd1p in response to dsDNA breaks; phosphorylated by three kinases (Cdc28p, Cdc7p, Mck1p) to generate pair of phosphates spaced precisely for recognition by ubiquitin ligase SCF-Cdc4; mutations in human homolog ESCO2 cause Roberts syndrome; relative distribution to nucleus increases upon DNA replication stress"
"1796","YFR028C",2359,2060,1334,1479,1229,1571,"CDC14","Protein phosphatase required for mitotic exit; required for rDNA segregation, cytokinesis, meiosis I spindle disassembly, environmental stress response; held in nucleolus by Cdc55p in early meiosis, liberated by FEAR and Mitotic Exit Network in anaphase, enabling it to effect a decrease in CDK/B-cyclin activity and mitotic exit; sequestered in metaphase II, released upon entry into anaphase II; human homolog CDC14A can complement thermosensitivity of yeast cdc14-1 mutant"
"1797","YFR029W",760,937,578,1472,1439,1618,"PTR3","Component of the SPS plasma membrane amino acid sensor system; senses external amino acid concentration and transmits intracellular signals that result in regulation of expression of amino acid permease genes; other members are Ssy1p, Ptr3p, and Ssy5p"
"1798","YFR030W",5439,4984,3332,2968,2591,3296,"MET10","Subunit alpha of assimilatory sulfite reductase; complex converts sulfite into sulfide"
"1799","YFR031C",1775,1743,1111,1585,1546,1781,"SMC2","Subunit of the condensin complex; condensin reorganizes chromosomes during both mitosis and meiosis; essential SMC chromosomal ATPase family member that forms a subcomplex with Smc2p that has ATP-hydrolyzing and DNA-binding activity, but other condensin subunits are required for chromatin binding; required for clustering of tRNA genes at the nucleolus"
"1800","YFR031C-A",32120,33366,18084,16274,15370,16463,"RPL2A","Ribosomal 60S subunit protein L2A; homologous to mammalian ribosomal protein L2 and bacterial L2; RPL2A has a paralog, RPL2B, that arose from the whole genome duplication"
"1801","YFR032C",81,79,57,17,40,34,"RRT5","Putative protein of unknown function; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription; expressed at high levels during sporulation"
"1802","YFR032C-A",8710,5197,3742,1922,1370,2029,"RPL29","Ribosomal 60S subunit protein L29; not essential for translation, but required for proper joining of large and small ribosomal subunits and for normal translation rate; homologous to mammalian ribosomal protein L29, no bacterial homolog"
"1803","YFR032C-B",6,4,2,1,13,3,"","Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"
"1804","YFR033C",1931,1188,828,2289,2631,2794,"QCR6","Subunit 6 of the ubiquinol cytochrome-c reductase complex; the complex, also known as the cytochrome bc(1) complex or Complex III, is a component of the mitochondrial inner membrane electron transport chain; highly acidic protein; required for maturation of cytochrome c1; may be loosely associated with the complex since it is easily released into the intermembrane space"
"1805","YFR034C",1639,1436,743,593,494,632,"PHO4","Basic helix-loop-helix (bHLH) transcription factor of the myc-family; activates transcription cooperatively with Pho2p in response to phosphate limitation; binding to 'CACGTG' motif is regulated by chromatin restriction, competitive binding of Cbf1p to the same DNA binding motif and cooperation with Pho2p; function is regulated by phosphorylation at multiple sites and by phosphate availability"
"1806","YFR035C",208,173,115,61,62,87,"","Putative protein of unknown function; deletion mutant exhibits synthetic phenotype with alpha-synuclein"
"1807","YFR036W",274,205,131,92,69,94,"CDC26","Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; relocalizes to the cytosol in response to hypoxia"
"1808","YFR037C",4332,4022,2443,3176,2645,3249,"RSC8","Component of the RSC chromatin remodeling complex; essential for viability and mitotic growth; homolog of SWI/SNF subunit Swi3p, but unlike Swi3p, does not activate transcription of reporters"
"1809","YFR038W",1989,1882,1231,1479,1223,1726,"IRC5","Putative ATPase containing the DEAD/H helicase-related sequence motif; null mutant displays increased levels of spontaneous Rad52p foci; SWAT-GFP and mCherry fusion proteins localize to the nucleus"
"1810","YFR039C",1992,1694,1127,1189,1092,1427,"OSW7","Protein involved in outer spore wall assembly; likely involved directly in dityrosine layer assembly; may be involved in response to high salt and changes in carbon source; SWAT-GFP, seamless-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; deletion mutant has decreased spore survival in Drosophila feces; OSW7 has a paralog, SHE10, that arose from the whole genome duplication; paralogs are redundant for spore wall dityrosine assembly"
"1811","YFR040W",3696,3446,2510,4429,3358,4902,"SAP155","Protein required for function of the Sit4p protein phosphatase; forms a complex with Sit4p; member of a family of similar proteins including Sap4p, Sap185p, and Sap190p; protein abundance increases in response to DNA replication stress; SAP155 has a paralog, SAP4, that arose from the whole genome duplication"
"1812","YFR041C",1127,878,604,840,784,969,"ERJ5","Type I membrane protein with a J domain; required to preserve the folding capacity of the endoplasmic reticulum; loss of the non-essential ERJ5 gene leads to a constitutively induced unfolded protein response"
"1813","YFR042W",501,348,266,352,339,482,"KEG1","Integral membrane protein of the ER; physically interacts with Kre6p; has a role in the synthesis of beta-1,6-glucan in the cell wall; required for cell viability"
"1814","YFR043C",419,322,272,408,286,428,"IRC6","Clathrin coat accessory factor; involved in clathrin-mediated vesicle trafficking; may function to link the AP-1 clathrin adaptor complex with the Rab GTPase Ypt31p; has structural similarity to G-proteins; mouse homolog Aagab (p34) functionally complements irc6 null mutation; null mutant displays increased levels of spontaneous Rad52p foci"
"1815","YFR044C",10953,10508,6257,8073,7420,8232,"DUG1","Cys-Gly metallo-di-peptidase; forms a complex with Dug2p and Dug3p to degrade glutathione (GSH) and other peptides containing a gamma-glu-X bond in an alternative pathway to GSH degradation by gamma-glutamyl transpeptidase (Ecm38p); human homolog CNDP2 can complement yeast dug1 mutant"
"1816","YFR045W",313,253,179,463,409,550,"","Putative mitochondrial transport protein; null mutant is viable, exhibits decreased levels of chitin and normal resistance to calcofluor white"
