"","Yorf","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","desc"
"1576","YER071C",195.204245074922,-0.231509490246276,0.18906587749421,-1.22449113142252,0.220767009846842,0.580100547150746,"TDA2","Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; null mutant is sensitive to expression of the top1-T722A allele"
"1577","YER072W",2465.71636510819,-0.422044757599214,0.155787544389664,-2.70910462869595,0.00674650605712384,0.111092466407306,"VTC1","Regulatory subunit of the vacuolar transporter chaperone (VTC) complex; VTC complex is involved in membrane trafficking, vacuolar polyphosphate accumulation, microautophagy and non-autophagic vacuolar fusion; also has mRNA binding activity; protein abundance increases in response to DNA replication stress"
"1578","YER073W",5250.02008643079,-0.536877569941571,0.0869765075267808,-6.17267334833216,6.71448446544954e-10,1.25815546845699e-07,"ALD5","Mitochondrial aldehyde dehydrogenase; involved in regulation or biosynthesis of electron transport chain components and acetate formation; activated by K+; utilizes NADP+ as the preferred coenzyme; constitutively expressed"
"1579","YER074W",26442.2339875376,-0.0472622256046011,0.109110516120962,-0.433159215856017,0.664899105697877,0.871877833099002,"RPS24A","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S24, no bacterial homolog; RPS24A has a paralog, RPS24B, that arose from the whole genome duplication"
"1580","YER074W-A",327.439066791687,-0.088118289913134,0.224885827216143,-0.391835675035411,0.695179633705032,0.887178517978663,"YOS1","Integral membrane protein required for ER to Golgi transport; localized to the Golgi, the ER, and COPII vesicles; interacts with Yip1p and Yif1p"
"1581","YER075C",1472.14353994256,0.138128376977741,0.120310942259239,1.14809488134595,0.250929397038223,0.604656861699015,"PTP3","Phosphotyrosine-specific protein phosphatase; involved in the inactivation of mitogen-activated protein kinase (MAPK) during osmolarity sensing; dephosporylates Hog1p MAPK and regulates its localization; localized to the cytoplasm"
"1582","YER076C",213.33141559787,0.0996764297599194,0.152615696343375,0.65312043353427,0.513678640063341,0.789608558050182,"","Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; analysis of HA-tagged protein suggests a membrane localization"
"1583","YER077C",507.387411617814,0.0711177565139707,0.117323627215044,0.606167386758494,0.544403606956229,0.804009349782227,"MRX1","Protein that associates with mitochondrial ribosome; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; null mutation results in a decrease in plasma membrane electron transport"
"1584","YER078C",950.291780369441,-0.0562363088085746,0.0962217086637641,-0.584445127711108,0.558920872694918,0.812079150327322,"ICP55","Mitochondrial aminopeptidase; cleaves the N termini of at least 38 imported proteins after cleavage by the mitochondrial processing peptidase (MPP), thereby increasing their stability; member of the aminopeptidase P family"
"1585","YER078W-A",6.95448411079412,-0.19963404933465,0.719153798271516,-0.277595765765918,0.781322682875016,NA,"","Putative protein of unknown function; identified by fungal homology and RT-PCR"
"1586","YER079W",308.224571877668,-0.190414350062729,0.134080151127935,-1.420153158099,0.155563097250708,0.506514060204749,"","Putative protein of unknown function"
"1587","YER080W",2721.80426795019,0.0917093519948913,0.0815770172693675,1.12420575138298,0.260925750114396,0.610783362495282,"AIM9","Protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss"
"1588","YER081W",2920.49064651462,-0.134386232126788,0.0986677161166688,-1.36200813615554,0.173195317446718,0.526661082823427,"SER3","3-phosphoglycerate dehydrogenase and alpha-ketoglutarate reductase; 3PG dehydrogenase that catalyzes the first step in serine and glycine biosynthesis; also functions as an alpha-ketoglutarate reductase, converting alpha-ketoglutarate to D-2-hydroxyglutarate (D-2HG); localizes to the cytoplasm; SER3 has a paralog, SER33, that arose from the whole genome duplication"
"1589","YER082C",2169.91407131724,0.0993640291232579,0.0907811693932945,1.09454449405448,0.273716244249998,0.624594535914936,"UTP7","Nucleolar protein; component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA"
"1590","YER083C",1293.69874982829,-0.0310188968415569,0.0955411142997227,-0.3246654287938,0.745434302215291,0.903103420097078,"GET2","Subunit of the GET complex; involved in insertion of proteins into the ER membrane; required for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion and for meiotic nuclear division"
"1591","YER084W",7.89374052048035,0.106075975532175,0.710405088968381,0.149317589611039,0.881303036361352,NA,"","Protein of unknown function; expressed at both mRNA and protein levels"
"1592","YER085C",7.68426248361445,0.620681094418737,0.732958537892818,0.846816105319044,0.397097629898192,NA,"","Putative protein of unknown function"
"1593","YER086W",5122.41153971253,0.108630366013135,0.112729789086634,0.96363496191456,0.335228972015492,0.676684336527557,"ILV1","Threonine deaminase, catalyzes first step in isoleucine biosynthesis; expression is under general amino acid control; ILV1 locus exhibits highly positioned nucleosomes whose organization is independent of known ILV1 regulation"
"1594","YER087C-B",709.393552816518,0.167999837359853,0.108197678856193,1.55271202798301,0.120491947498715,0.465685094386926,"SBH1","Beta subunit of Sec61p ER translocation complex (Sec61p-Sss1p-Sbh1p); involved in protein translocation into the endoplasmic reticulum; interacts with the exocyst complex and also with Rtn1p; cotranslationally N-acetylated by NatA; SBH1 has a paralog, SBH2, that arose from the whole genome duplication"
"1595","YER087W",424.898445734702,-0.108616170729952,0.124855607146165,-0.869934264168033,0.384336329134621,0.708741518626555,"AIM10","Protein with similarity to tRNA synthetases; non-tagged protein is detected in purified mitochondria; null mutant is viable and displays elevated frequency of mitochondrial genome loss"
"1596","YER088C",4103.38319134003,0.318674964552092,0.164052432352354,1.94251898604976,0.0520743037716406,0.325629190673297,"DOT6","Protein involved in rRNA and ribosome biogenesis; activated in stochastic pulses of nuclear localization; binds polymerase A and C motif; subunit of the RPD3L histone deacetylase complex; has chromatin specific SANT domain; involved in telomeric gene silencing and filamentation; relative distribution to the nucleus increases upon DNA replication stress"
"1597","YER089C",4417.77059833633,0.0222430711160796,0.086991677031798,0.255691945195505,0.798188715274292,0.927679296509254,"PTC2","Type 2C protein phosphatase (PP2C); dephosphorylates Hog1p to limit maximal osmostress induced kinase activity; dephosphorylates Ire1p to downregulate the unfolded protein response; dephosphorylates Cdc28p; inactivates the DNA damage checkpoint; PTC2 has a paralog, PTC3, that arose from the whole genome duplication"
"1598","YER090W",5220.83887888928,0.0566410024374241,0.0825231660247198,0.686364873839879,0.492483049098891,0.778630459355069,"TRP2","Anthranilate synthase; catalyzes the initial step of tryptophan biosynthesis, forms multifunctional hetero-oligomeric anthranilate synthase:indole-3-glycerol phosphate synthase enzyme complex with Trp3p"
"1599","YER091C",28850.2399115624,-0.0809043570981128,0.08965833487661,-0.902362922637983,0.366864110288409,0.693875958968532,"MET6","Cobalamin-independent methionine synthase; involved in methionine biosynthesis and regeneration; requires a minimum of two glutamates on the methyltetrahydrofolate substrate, similar to bacterial metE homologs"
"1600","YER092W",430.994192520387,-0.287459146739234,0.187158455996899,-1.53591321967305,0.124559665444924,0.469411967358421,"IES5","Non-essential INO80 chromatin remodeling complex subunit; deletion affects telomere maintenance via recombination"
"1601","YER093C",1767.42318662449,-0.118740719037478,0.0875539776231563,-1.35620016658242,0.175035489049487,0.529127335363121,"TSC11","Subunit of TORC2 (Tor2p-Lst8p-Avo1-Avo2-Tsc11p-Bit61p); TORC2 is a membrane-associated complex that regulates actin cytoskeletal dynamics during polarized growth and cell wall integrity; involved in sphingolipid metabolism; contains a RasGEFN domain"
"1602","YER093C-A",174.798864313279,-0.176326404336358,0.18174772734236,-0.970171164804777,0.331961181204788,0.675103689620814,"AIM11","Protein of unknown function; null mutant is viable but shows increased loss of mitochondrial genome and synthetic interaction with prohibitin (phb1); contains an intron; SWAT-GFP and mCherry fusion proteins localize to the mitochondria; YER093C-A has a paralog, YBL059W, that arose from the whole genome duplication"
"1603","YER094C",3205.56837196334,-0.21507489017209,0.116428799377564,-1.84726537868546,0.0647086880518837,0.35419412192405,"PUP3","Beta 3 subunit of the 20S proteasome; involved in ubiquitin-dependent catabolism; human homolog is subunit C10"
"1604","YER095W",1923.30649346672,1.44095208835833,0.100558295473967,14.3295198229704,1.43106631913484e-46,1.29606906302979e-43,"RAD51","Strand exchange protein; forms a helical filament with DNA that searches for homology; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; homolog of Dmc1p and bacterial RecA protein"
"1605","YER096W",205.25992286328,0.102651976229498,0.187640405978947,0.54706754493494,0.584332328443284,0.828185151998123,"SHC1","Sporulation-specific activator of Chs3p (chitin synthase III); required for the synthesis of the chitosan layer of ascospores; transcriptionally induced at alkaline pH; SHC1 has a paralog, SKT5, that arose from the whole genome duplication"
"1606","YER098W",498.470643344969,0.0987595943388558,0.116448071359428,0.848099871349736,0.396382353273491,0.715413030241938,"UBP9","Ubiquitin-specific protease that cleaves ubiquitin-protein fusions; UBP9 has a paralog, UBP13, that arose from the whole genome duplication"
"1607","YER099C",951.340197882022,-0.204192853115833,0.121984915922253,-1.6739188740842,0.0941465442841746,0.41968197017244,"PRS2","5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP; which is required for nucleotide, histidine, and tryptophan biosynthesis; one of five related enzymes, which are active as heteromultimeric complexes; PRS2 has a paralog, PRS4, that arose from the whole genome duplication"
"1608","YER100W",1081.571452699,0.0887739697912693,0.0942607531621109,0.941791432947652,0.346299432171433,0.685437741798578,"UBC6","Ubiquitin-conjugating enzyme involved in ERAD; located at the cytosolic side of the ER membrane; tail region contains a transmembrane segment at the C-terminus; substrate of the ubiquitin-proteasome pathway; ER-associated protein degradation is also known as ERAD"
"1609","YER101C",320.156091460576,0.0270496722884784,0.12393449565118,0.218257815520637,0.827228240442517,0.939034522365707,"AST2","Lipid raft associated protein; overexpression restores Pma1p localization to lipid rafts which is required for targeting of Pma1p to the plasma membrane; sometimes classified in the medium-chain dehydrogenase/reductases (MDRs) superfamily; AST2 has a paralog, AST1, that arose from the whole genome duplication"
"1610","YER102W",27879.9266065345,0.00637061701391126,0.101018282202164,0.0630640006445762,0.9497155405375,0.984501001007397,"RPS8B","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S8, no bacterial homolog; RPS8B has a paralog, RPS8A, that arose from the whole genome duplication"
"1611","YER103W",19349.1660348867,0.0993008181856231,0.115936515627287,0.856510286240232,0.391715585655511,0.712601214833786,"SSA4","Heat shock protein that is highly induced upon stress; plays a role in SRP-dependent cotranslational protein-membrane targeting and translocation; member of the HSP70 family; cytoplasmic protein that concentrates in nuclei upon starvation; SSA4 has a paralog, SSA3, that arose from the whole genome duplication"
"1612","YER104W",277.755378998471,-0.0876542358151463,0.22523895799278,-0.38916107851092,0.697156993346984,0.887629488257618,"RTT105","Protein with a role in regulation of Ty1 transposition"
"1613","YER105C",5078.14376748321,0.133613698917512,0.084351761263354,1.58400603515981,0.113192345712895,0.451937697725106,"NUP157","Subunit of the inner ring of the nuclear pore complex (NPC); contributes to NPC assembly and tethering of DNA to the nuclear periphery; both Nup170p and NUP157p are similar to human Nup155p; NUP157 has a paralog, NUP170, that arose from the whole genome duplication"
"1614","YER106W",13.2442643072298,0.143000519123294,0.569462495184311,0.251114902794452,0.801725274231587,NA,"MAM1","Monopolin; meiosis-specific kinetochore-associated protein involved in monopolar attachment of sister kinetochores to the meiotic spindle; subunit of monopolin, a complex that prevents biorientation of sister kinetochores to ensure homolog biorientation during meiosis I; regulates the conformation, enzyme kinetics and substrate specificity of the Dsn1p kinase, Hrr1p; expressed only during the first meiotic division"
"1615","YER107C",1491.31678807464,-0.0551182294992074,0.0791137966582927,-0.696695542716441,0.485993348840385,0.773695257964627,"GLE2","RNA export factor associated with the nuclear pore complex (NPC); associates with NUP116p; required for polyadenylated RNA export but not for protein import; homologous to S. pombe Rae1p and human RAE1"
"1616","YER109C",1041.09109387099,0.0624034755831334,0.124942650323725,0.499456954222172,0.61745750452812,0.843496194906736,"FLO8","Transcription factor; required for flocculation, diploid filamentous growth, and haploid invasive growth; forms a heterodimer with Mss1p that interacts with the Swi/Snf complex during transcriptional activation of FLO1, FLO11, and STA1; S. cerevisiae genome reference strain S288C contains an internal in-frame stop at codon 142, which in other strains encodes tryptophan"
"1617","YER110C",23201.3551343623,0.206743419859404,0.0946853379935537,2.18347871212626,0.0290005749731537,0.242444806775565,"KAP123","Karyopherin beta; mediates nuclear import of ribosomal proteins prior to assembly into ribosomes and import of histones H3 and H4; localizes to the nuclear pore, nucleus, and cytoplasm; exhibits genetic interactions with RAI1"
"1618","YER111C",1315.89710399957,0.0387939547378394,0.120073960719355,0.323083826879929,0.746631758291123,0.903808637681881,"SWI4","DNA binding component of the SBF complex (Swi4p-Swi6p); a transcriptional activator that in concert with MBF (Mbp1-Swi6p) regulates late G1-specific transcription of targets including cyclins and genes required for DNA synthesis and repair; Slt2p-independent regulator of cold growth; acetylation at two sites, K1016 and K1066, regulates interaction with Swi6p"
"1619","YER112W",844.325246574233,-0.209045514560337,0.106869948001333,-1.95607388671817,0.0504564508108147,0.320781172313265,"LSM4","Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA; forms cytoplasmic foci upon DNA replication stress"
"1620","YER113C",1575.4548270363,0.210246727732631,0.113005812351497,1.86049481312229,0.0628155516199103,0.351896605672776,"TMN3","Protein with a role in cellular adhesion and filamentous growth; similar to Emp70p and Tmn2p; member of Transmembrane Nine family with 9 transmembrane segments; localizes to Golgi; induced by 8-methoxypsoralen plus UVA irradiation"
"1621","YER114C",2596.00111058903,0.217045919719517,0.114526060779824,1.89516620271073,0.0580703861681606,0.337264868764484,"BOI2","Protein implicated in polar growth, functionally redundant with Boi1p; interacts with bud-emergence protein Bem1p; contains an SH3 (src homology 3) domain and a PH (pleckstrin homology) domain; BOI2 has a paralog, BOI1, that arose from the whole genome duplication"
"1622","YER115C",355.465772101031,-0.157087792968037,0.126116303320701,-1.24557879379464,0.212919071639118,0.570052579293073,"SPR6","Protein of unknown function; expressed during sporulation; not required for sporulation, but gene exhibits genetic interactions with other genes required for sporulation"
"1623","YER116C",319.686045063787,-0.0183060455858309,0.147496503130753,-0.124111726022433,0.901226813923049,0.969371834294903,"SLX8","Subunit of Slx5-Slx8 SUMO-targeted ubiquitin ligase (STUbL) complex; role in proteolysis of spindle positioning protein Kar9, DNA repair proteins Rad52p and Rad57p; stimulated by SUMO-modified substrates; contains a C-terminal RING domain; forms nuclear foci upon DNA replication stress; required for maintenance of genome integrity like human ortholog RNF"
"1624","YER117W",18199.3560186745,-0.0130023795570593,0.110601742796838,-0.117560349667754,0.906416023400799,0.970557803927169,"RPL23B","Ribosomal 60S subunit protein L23B; homologous to mammalian ribosomal protein L23 and bacterial L14; RPL23B has a paralog, RPL23A, that arose from the whole genome duplication"
"1625","YER118C",1251.27041441614,0.151035727709553,0.117342098527865,1.28714016200832,0.198045439188125,0.552453242581247,"SHO1","Transmembrane osmosensor for filamentous growth and HOG pathways; involved in activation of the Cdc42p- and MAP kinase-dependent filamentous growth pathway and the high-osmolarity glycerol (HOG) response pathway; phosphorylated by Hog1p; interacts with Pbs2p, Msb2p, Hkr1p, and Ste11p"
"1626","YER119C",773.019660710258,0.0961899123592401,0.118346171035118,0.812784321773254,0.41634172602583,0.730494739996517,"AVT6","Vacuolar aspartate and glutamate exporter; member of a family of seven genes (AVT1-7) related to vesicular GABA-glycine transporters; involved in compartmentalizing acidic amino acids in response to nitrogen starvation; AVT6 has a paralog, AVT5, that arose from the whole genome duplication"
"1627","YER120W",5056.52511449632,0.00778488809041898,0.0846171588900282,0.0920012937392111,0.92669701169769,0.977859496841095,"SCS2","Integral ER membrane protein, regulates phospholipid metabolism; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER to plasma membrane (PM) and regulate PI4P levels by controlling access of Sac1p phosphatase to substrate PI4P in the PM; interacts with FFAT motifs in Opi1p, Swh1p, Osh2p, and Osh3p; involved in telomeric silencing; VAP homolog; SCS2 has a paralog, SCS22, that arose from the whole genome duplication"
"1628","YER121W",24.5416962603155,-0.0108034564572213,0.441858520373439,-0.0244500353825715,0.980493637774166,NA,"","Putative protein of unknown function; may be involved in phosphatase regulation and/or generation of precursor metabolites and energy"
"1629","YER122C",3661.55693305257,0.0638960850333609,0.0838733844261829,0.761815985732589,0.446169838150436,0.754069411226272,"GLO3","ADP-ribosylation factor GTPase activating protein (ARF GAP); involved in ER-Golgi transport; shares functional similarity with Gcs1p"
"1630","YER123W",1354.33267240304,0.0859089495160352,0.0818699754890421,1.04933400801535,0.294024419141629,0.642173912224925,"YCK3","Palmitoylated vacuolar membrane-localized casein kinase I isoform; negatively regulates vacuole fusion during hypertonic stress via phosphorylation of Vps41p; shares essential functions with Hrr25p; regulates vesicle fusion in AP-3 pathway"
"1631","YER124C",2777.87876749882,0.11316265011117,0.0750938648521426,1.50694934045523,0.131823642918412,0.47882999707129,"DSE1","Daughter cell-specific protein; may regulate cross-talk between the mating and filamentation pathways; deletion affects cell separation after division and sensitivity to alpha-factor and drugs affecting the cell wall; relocalizes from bud neck to cytoplasm upon DNA replication stress"
"1632","YER125W",7893.79513208169,0.0728051633430016,0.0864973288812244,0.841704180749622,0.399953557519382,0.71785219032526,"RSP5","NEDD4 family E3 ubiquitin ligase; regulates processes including: MVB sorting, the heat shock response, transcription, endocytosis and ribosome stability; ubiquitinates Sec23p, Sna3p, Ste4p, Nfi1p, Rpo21p and Sem1p; autoubiquitinates; deubiquitinated by Ubp2p; regulated by SUMO ligase Siz1p, in turn regulates Siz1p SUMO ligase activity; required for efficient Golgi-to-ER trafficking in COPI mutants; mutant tolerates aneuploidy; human homolog implicated in Liddle syndrome"
"1633","YER126C",2045.25519401987,0.097912715600479,0.0852909719585647,1.14798452112899,0.250974953878582,0.604656861699015,"NSA2","Protein constituent of 66S pre-ribosomal particles; contributes to processing of the 27S pre-rRNA; recruited by ribosomal proteins L17, L35, and L37 to assembling ribosomes after 27SB pre-rRNA is generated, immediately preceding removal of ITS2"
"1634","YER127W",1281.73577047362,-0.0447551430924888,0.0922224839839656,-0.485295354875392,0.627466850044936,0.851583460889464,"LCP5","Essential protein involved in maturation of 18S rRNA; depletion leads to inhibited pre-rRNA processing and reduced polysome levels; localizes primarily to the nucleolus"
"1635","YER128W",105.240945630804,0.0510746609743932,0.214320696365595,0.238309513922391,0.811641042848722,0.933430143246551,"VFA1","Protein that interacts with Vps4p and has a role in vacuolar sorting; stimulates the ATPase activity of Vps4; localizes to endosomes in a Vps4-dependent manner; overexpression causes canavanine sensitivity and confers a partial class D vacuole morphology"
"1636","YER129W",2579.78536555559,0.146854993058875,0.091407067024664,1.60660436702613,0.108141183937646,0.443956708731912,"SAK1","Upstream serine/threonine kinase for the SNF1 complex; plays a role in pseudohyphal groth; partially redundant with Elm1p and Tos3p; members of this family have functional orthology with LKB1, a mammalian kinase associated with Peutz-Jeghers cancer-susceptibility syndrome; SAK1 has a paralog, TOS3, that arose from the whole genome duplication"
"1637","YER130C",1007.54647615936,0.153365275086631,0.0964334950045568,1.59037350123402,0.111750639714401,0.449817019413373,"COM2","Transcription factor that binds IME1 Upstream Activation Signal (UAS)ru; COM2 transcription is regulated by Haa1p, Sok2p and Zap1p transcriptional activators; may bind the IME1 promoter under all growth conditions to negatively regulate its transcription in the absence of a positive regulator that binds more effectively; repressor activity may depend on phosphorylation by PKA; C. albicans homolog (MNL1) plays a role in adaptation to stress"
"1638","YER131W",10145.8933708675,0.00438857135661796,0.106855791502379,0.0410700374300279,0.967240061108538,0.990582432931633,"RPS26B","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S26, no bacterial homolog; RPS26B has a paralog, RPS26A, that arose from the whole genome duplication; human homolog can partially complement an RPS26A, RPS26B double null mutant; mutations in the human gene are associated with Diamond-Blackfan anemia"
"1639","YER132C",2746.27151395046,0.197718756559994,0.122834879676896,1.60963040042105,0.107478567416842,0.443956708731912,"PMD1","Protein with an N-terminal kelch-like domain; putative negative regulator of early meiotic gene expression; required, with Mds3p, for growth under alkaline conditions; PMD1 has a paralog, MDS3, that arose from the whole genome duplication"
"1640","YER133W",3874.88631590855,-0.200703573563217,0.134518326376409,-1.49201658219869,0.135694798302745,0.48467059541068,"GLC7","Type 1 S/T protein phosphatase (PP1) catalytic subunit; involved in glycogen metabolism, sporulation and mitotic progression; interacts with multiple regulatory subunits; regulates actomyosin ring formation; subunit of CPF; recruited to mating projections by Afr1p interaction; regulates nucleocytoplasmic shuttling of Hxk2p; import into the nucleus is inhibited during spindle assembly checkpoint arrest; involved in dephosphorylating Rps6a/b and Bnr1p"
"1641","YER134C",345.494315773273,-0.205147287938137,0.147833266311034,-1.38769367042542,0.165230344244563,0.518995196893038,"","Magnesium-dependent acid phosphatase; member of the haloacid dehalogenase superfamily; non-essential gene"
"1642","YER136W",3657.63230530838,-0.056862150992955,0.0713910629801358,-0.796488364499861,0.425748235820566,0.737258098613434,"GDI1","GDP dissociation inhibitor; regulates vesicle traffic in secretory pathways by regulating the dissociation of GDP from the Sec4/Ypt/rab family of GTP binding proteins"
"1643","YER137C",112.849678705774,-0.197428366126076,0.20189465530687,-0.977878120775384,0.328134607487814,0.672100813075304,"","Putative protein of unknown function"
"1644","YER137C-A",0,NA,NA,NA,NA,NA,"","Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag"
"1645","YER138C",383879.115654673,0.145464007328685,0.162681496246672,0.89416442978936,0.371233920721071,0.696335907904141,"","Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes"
"1646","YER138W-A",3992.77339054344,-0.129292392575386,0.19666207972293,-0.657434278929327,0.510901716432123,0.787585794919761,"","Putative protein of unknown function; YER138W-A has a paralog, YBL107W-A, that arose from a single-locus duplication"
"1647","YER139C",271.020828836778,-0.452061049063784,0.179471693603375,-2.51884316678273,0.0117741087481126,0.151139780409019,"RTR1","CTD phosphatase; dephosphorylates S5-P in the C-terminal domain of Rpo21p; has a cysteine-rich motif required for function and conserved in eukaryotes; shuttles between the nucleus and cytoplasm; RTR1 has a paralog, RTR2, that arose from the whole genome duplication"
"1648","YER140W",626.439915863262,-0.0161903726904027,0.122022287886141,-0.132683733200528,0.894443508133456,0.967244979740736,"EMP65","Integral membrane protein of the ER; forms an ER-membrane associated protein complex with Slp1p; identified along with SLP1 in a screen for mutants defective in the unfolded protein response (UPR); proposed to function in the folding of integral membrane proteins; interacts genetically with MPS3; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"1649","YER141W",2441.90141451278,0.0390505695568187,0.0818403829630449,0.477155264222701,0.633251564172124,0.853653238659963,"COX15","Protein required for the hydroxylation of heme O to form heme A; heme A is an essential prosthetic group for cytochrome c oxidase"
"1650","YER142C",301.678153658434,-0.11935930408727,0.146123031965125,-0.816841140524359,0.414019218037824,0.727378089498071,"MAG1","3-methyl-adenine DNA glycosylase; involved in protecting DNA against alkylating agents; initiates base excision repair by removing damaged bases to create abasic sites that are subsequently repaired; protein abundance increases in response to DNA replication stress"
"1651","YER143W",1284.74305801325,-0.0816092041874881,0.0980953479571887,-0.831937557559859,0.405444191062524,0.721718957411073,"DDI1","DNA damage-inducible v-SNARE binding protein; role in suppression of protein secretion; may play a role in S-phase checkpoint control; has ubiquitin-associated (UBA), ubiquitin-like (UBL), and retroviral-like proteinase (RVP) domains"
"1652","YER144C",945.246777166031,0.0645687180867252,0.128047919423615,0.50425433210762,0.614082664644113,0.842725966432461,"UBP5","Putative ubiquitin-specific protease; concentrates at the bud neck; UBP5 has a paralog, DOA4, that arose from the whole genome duplication"
"1653","YER145C",6994.70562327539,0.178091460119063,0.110043543793616,1.61837263668162,0.105582315373192,0.440994851451135,"FTR1","High affinity iron permease; involved in the transport of iron across the plasma membrane; forms complex with Fet3p; expression is regulated by iron; protein abundance increases in response to DNA replication stress"
"1654","YER146W",624.603886758664,-0.0600479128709278,0.121256474082281,-0.495214076818537,0.620449015038659,0.846052684496882,"LSM5","Lsm (Like Sm) protein; part of heteroheptameric complexes (Lsm2p-7p and either Lsm1p or 8p): cytoplasmic Lsm1p complex involved in mRNA decay; nuclear Lsm8p complex part of U6 snRNP and possibly involved in processing tRNA, snoRNA, and rRNA"
"1655","YER147C",994.656543150979,-0.0482840362128574,0.103005059630777,-0.468754024180288,0.639245466271367,0.85981679795015,"SCC4","Subunit of cohesin loading factor (Scc2p-Scc4p); complex is required for the loading of cohesin complexes onto chromosomes; involved in establishing sister chromatid cohesion during double-strand break repair via phosphorylated histone H2AX"
"1656","YER148W",3005.41474399954,-0.0195091348055169,0.083923942193096,-0.232462087643945,0.816179130386136,0.934283727868754,"SPT15","TATA-binding protein (TBP); general transcription factor that interacts with other factors to form the preinitiation complex at promoters; essential for viability, highly conserved; yeast gene can complement mutations in human homolog TBP"
"1657","YER149C",897.559551977975,-0.0618727271778371,0.0879057550769623,-0.703852974400447,0.481524339525714,0.771859369021455,"PEA2","Coiled-coil 12S polarisome subunit; required for polarity establishment, apical bud growth, shmoo formation, filamentous differentiation; involved in Bni1p localization at sites of polarized growth, controlling polarized assembly of actin cables; role in apical growth affects diploid-specific bipolar bud site selection; retains Slt2p at bud tip to regulate ER inheritance; role in Ca2+ influx, cell fusion; S288C allele encoding Leu409 rather than Met linked with non-invasion"
"1658","YER150W",500.248595848291,-0.272863400556202,0.154451349769767,-1.76666245366549,0.0772847749059057,0.387006458252345,"SPI1","GPI-anchored cell wall protein involved in weak acid resistance; basal expression requires Msn2p/Msn4p; expression is induced under conditions of stress and during the diauxic shift; SPI1 has a paralog, SED1, that arose from the whole genome duplication"
"1659","YER151C",3958.32954769274,0.286868781211411,0.106050698654045,2.70501547705239,0.00683012071153735,0.111122383073335,"UBP3","Ubiquitin-specific protease involved in transport and osmotic response; negatively regulates Ras/PKA signaling; interacts with Bre5p to coregulate anterograde, retrograde transport between ER and Golgi; involved in transcription elongation in response to osmostress through phosphorylation at Ser695 by Hog1p; inhibitor of gene silencing; role in ribophagy; cleaves ubiquitin fusions but not polyubiquitin; protein abundance increases in response to DNA replication stress"
"1660","YER152C",1843.83553543614,0.119815244200644,0.0966113786385289,1.24017735684046,0.214909801578752,0.571740389740791,"","Protein with 2-aminoadipate transaminase activity; shares amino acid similarity with the aminotransferases Aro8p and Aro9p; YER152C is not an essential gene"
"1661","YER153C",388.149990931769,0.154839319400142,0.122781170267551,1.26109988252053,0.207272862951413,0.562773371182305,"PET122","Mitochondrial translational activator specific for the COX3 mRNA; acts together with Pet54p and Pet494p; located in the mitochondrial inner membrane"
"1662","YER154W",1698.0796934032,0.0948167026041765,0.0926736285699006,1.02312496086909,0.306248766499909,0.655858155525252,"OXA1","Mitochondrial inner membrane insertase; mediates the insertion of both mitochondrial- and nuclear-encoded proteins from the matrix into the inner membrane; also has a role in insertion of carrier proteins into the inner membrane; acts as a voltage-gated ion channel, activated by substrate peptides; interacts with mitochondrial ribosomes; conserved from bacteria to animals"
"1663","YER155C",10676.5239325878,0.392694183179418,0.1478620520306,2.65581450944662,0.00791171193926288,0.120426450078304,"BEM2","Rho GTPase activating protein (RhoGAP); involved in the control of cytoskeleton organization and cellular morphogenesis; required for bud emergence; potential GAP for Rho4p"
